広告管理 ＞ キャンペーン ＞ 広告主

"ID","広告主名","表示率","Imp","Click","CTR","CV","CVR","グロス","ネット","利益","CPC(グロス)","eCPM(グロス)"
"150","競馬リポート運営事務局","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"156","ジェイフロンティア株式会社","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"157","株式会社aqugarage","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"162","株式会社ネクシブ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"167","株式会社ミーロード","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"170","株式会社オンライン","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"175","株式会社リスボン_リベンシス","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"190","株式会社MIKATA","1200%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"193","株式会社sizebook_リベンシス","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"199","株式会社ヘルスアップ_トリックトラック","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"200","株式会社aqugarage_トリックトラック","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"201","株式会社ファンクルン製薬_トリックトラック","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"203","株式会社Fringe","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"211","株式会社MIKATA","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"218","合同会社MCP","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"220","チュラコス株式会社_トリックトラック","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"228","日本ITビジネス研究所株式会社_LINCREAD","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"229","株式会社メビウス製薬_LINCREAD","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"230","株式会社漢方生薬研究所_LINCREAD","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"231","株式会社フォーマルクライン_LINCREAD","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"232","株式会社ヘルスアップ_LINCREAD","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"234","セブンデイズ株式会社","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"236","株式会社Hide&Seek","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"241","株式会社Hide&Seek","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"243","株式会社デジタルコマース","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"245","株式会社Lightning ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"247","日本ITビジネス研究所株式会社_トリックトラック","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"252","株式会社FEEL_トリックトラック","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"261","有限会社ドリームパイレーツ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"263","株式会社GRACE_LINCREAD","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"265","田中明徳 ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"266","株式会社BIZENTO_Historia","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"268","株式会社アドバンスト･メディカル・ケア","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"269","株式会社GRACE","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"274","シティヘブンネット","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"278","株式会社アスミック","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"279","チュラコス株式会社_KMウェブコンサルティング ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"284","株式会社ネクセル","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"288","株式会社イフス_エイチエムシステムズ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"292","株式会社ADMON","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"294","株式会社イフス","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"298","インターワークス株式会社","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"304","TSUTAYA様","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"307","安心健康ライフ株式会社","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"311","株式会社Hominis","120%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"313","アプリ運営","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"317","DMMgames","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"323","株式会社COC","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"328","あすなろわかさ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"330","ぶいけん","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"331","ギャラクシーコミック","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"344","株式会社ハーバーリンクスジャパン_TriggerEdge","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"345","コミなび","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"347","株式会社アイ・ポイント","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"348","株式会社メリーウェザー","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"353","ガールズチャット","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"367","株式会社アクトキー","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"379","フロムココロ","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"386","株式会社Kanael","100%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
"400","株式会社SVC","110%",0,0,"0.000%",0,"0.000%",0,0,0,-,-
