広告管理 ＞ アフィリエイト ＞ キャンペーン

"キャンペーングループ","ID","キャンペーン名","サイズ","設定","原稿数","マージン","ステータス","Imp","Click","CTR","CV","CVR","グロス","ネット","利益","price","CPC(グロス)","eCPM(グロス)"
"1281 RT_電子書籍TOP_30day ","4839","RT_電子書籍TOP_30day_ヌルネバ☆スイ_Ios_レクタングル_準一般","ﾚｸﾀﾝｸﾞﾙ","リカテ",1,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1281 RT_電子書籍TOP_30day ","4840","RT_電子書籍TOP_30day_おねえさんとなつ_Ios_レクタングル_準一般","ﾚｸﾀﾝｸﾞﾙ","リカテ",1,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1280 RT_同人top_30day ","4865","RT_同人top_30day_おねえさんとなつやす_Ios_レクタングル_準一般","ﾚｸﾀﾝｸﾞﾙ","リカテ",1,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1280 RT_同人top_30day ","4872","RT_同人top_30day_ 今泉ん家2_Ios_レクタングル_準一般","ﾚｸﾀﾝｸﾞﾙ","リカテ",1,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1280 RT_同人top_30day ","4873","RT_同人top_30day_冬虫夏草6_Iosレクタングル_準一般","ﾚｸﾀﾝｸﾞﾙ","リカテ",1,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1280 RT_同人top_30day ","4874","RT_同人top_30day_催●性指導_SZAZ_Ios_レクタングル_準一般","ﾚｸﾀﾝｸﾞﾙ","リカテ",1,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1280 RT_同人top_30day ","4875","RT_同人top_30day_催●性指導_SZAZ_And_レクタングル_準一般","ﾚｸﾀﾝｸﾞﾙ","リカテ",1,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1280 RT_同人top_30day ","4876","RT_同人top_30day_冬虫夏草6_SZAZ_And_レクタングル_準一般","ﾚｸﾀﾝｸﾞﾙ","リカテ",1,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1280 RT_同人top_30day ","4877","RT_同人top_30day_ 今泉ん家はどうやル_And_レクタングル_準一般","ﾚｸﾀﾝｸﾞﾙ","リカテ",1,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1280 RT_同人top_30day ","4878","RT_同人top_30day_ヌルネバ☆スイマ～_And_レクタングル_準一般","ﾚｸﾀﾝｸﾞﾙ","リカテ",1,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1280 RT_同人top_30day ","4879","RT_同人top30day_おねえさんとなつ_And_レクタングル_準一般","ﾚｸﾀﾝｸﾞﾙ","リカテ",1,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"3698 Plusmate【Gamerch】","15485","[一般]Plusmate_レクタングル_動画スクロール_iOS[counsel_直](fam_98)【Gmc】","ﾚｸﾀﾝｸﾞﾙ","カテ",11,30,"オン",137,0,"0",0,"0.000%",0,0,0,0,-,0
"2100 にじげんカノジョ_準一般","15682","【新】にじげんカノジョ_準一般_インフィード小_IOS___149(年確あり)_全開放","ｲﾝﾌｨｰﾄﾞ_小","",7,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"2100 にじげんカノジョ_準一般","15683","【新】にじげんカノジョ_準一般_インフィード小_ADR___149(年確あり)全開放","ｲﾝﾌｨｰﾄﾞ_小","",5,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"2100 にじげんカノジョ_準一般","15685","【新】にじげんカノジョ_準一般_300*250_ADR_動画スクロール_fam149(年確あり)_ファインドバナー【GW】","ﾚｸﾀﾝｸﾞﾙ","カテ",6,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"2100 にじげんカノジョ_準一般","15744","【新】にじげんカノジョ_準一般_300*250_IOS_動画スクロール_fam150_ファインドバナー_エントリーパス","ﾚｸﾀﾝｸﾞﾙ","カテ",6,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"31 20190312_デザイン部確認用","246","20190312_デザイン確認用キャンペーン","ｲﾝﾌｨｰﾄﾞ_大","",1,20,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"249 ネオわらびはだ_f","1429","ネオわらびはだ_300*250_インステ用_f","ﾚｸﾀﾝｸﾞﾙ（高CTR）","カテ",6,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"119 セルノート_ｆ","1619","セルノート_300*250_インステ用_f","ﾚｸﾀﾝｸﾞﾙ（高CTR）","カテ",5,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"385 TrueUP_ｆ","1673","TrueUP_300*250_インステ用_f","ﾚｸﾀﾝｸﾞﾙ（高CTR）","カテ",12,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"3033 優良競馬予想サイトランキング","11070","[PC・SP]優良競馬予想サイトランキング_インフィード小","ｲﾝﾌｨｰﾄﾞ_小","カテ",3,20,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"3033 優良競馬予想サイトランキング","11091","[PC・SP]優良競馬予想サイトランキング_レクタングル","ﾚｸﾀﾝｸﾞﾙ","カテ",3,20,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"3546 競艇ドラゴン","13389","[PC/SP]競艇ドラゴン_インフィード小","ｲﾝﾌｨｰﾄﾞ_小","カテ",8,20,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"3558 【ディマージテスト】 キャンペーングループまつだ","13450","【ディマージテスト】 キャンペーンまつだ","ｲﾝﾌｨｰﾄﾞ_大","カテ",1,20,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"3645 株式会社ディマージシェア_キ","14358","【ディマージテスト】キャンペーン_テ","ｲﾝﾌｨｰﾄﾞ_大","カテ",1,20,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"19 キャンペーングループ　サンプル","188","キャンペーン　サンプル","ﾚｸﾀﾝｸﾞﾙ","",0,20,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"19 キャンペーングループ　サンプル","189","リタゲキャンペーンサンプル","ﾚｸﾀﾝｸﾞﾙ","リ",0,20,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"44 サジージュース_f","262","サジージュース_300*300_f","ｲﾝﾌｨｰﾄﾞ_小","カテ",3,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"44 サジージュース_f","263","サジージュース_1200*628_f","ｲﾝﾌｨｰﾄﾞ_大","カテ",6,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"45 鍛神_f","264","ネイティブ1200*628_f","ｲﾝﾌｨｰﾄﾞ_大","カテ",10,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"45 鍛神_f","265","ネイティブ300*300_f","ｲﾝﾌｨｰﾄﾞ_小","カテ",10,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"51 ブレッシュ_f","274","ブレッシュ_300*250_f","ﾚｸﾀﾝｸﾞﾙ","カテ",3,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"51 ブレッシュ_f","275","ブレッシュ_300*300_f","ｲﾝﾌｨｰﾄﾞ_小","カテ",85,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"51 ブレッシュ_f","276","ブレッシュ_1200*628_f","ｲﾝﾌｨｰﾄﾞ_大","カテ",103,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"52 スラキュア_f","280","スラキュア_300*250_f","ﾚｸﾀﾝｸﾞﾙ","カテ",4,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"52 スラキュア_f","281","スラキュア_1200*628_f","ｲﾝﾌｨｰﾄﾞ_大","カテ",37,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"52 スラキュア_f","282","スラキュア_300*300_f","ｲﾝﾌｨｰﾄﾞ_小","カテ",14,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"84 スラキュア_UniQrazy_ｆ","306","スラキュア_1200*628_f","ｲﾝﾌｨｰﾄﾞ_大","カテ",0,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"87 キラビアンカ_UniQrazy_f","309","キラビアンカ_1268*200_f","ｲﾝﾌｨｰﾄﾞ_大","カテ",0,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"91 ヴィーナスカーブ_LINCREAD_f","325","ヴィーナスカーブ_1200*628_f","ｲﾝﾌｨｰﾄﾞ_大","カテ",27,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"92 シズカゲル_LINCREAD_f","326","シズカゲル_1200*628_f","ｲﾝﾌｨｰﾄﾞ_大","カテ",0,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"94 FREPURE_LINCREAD_f","328","FREPURE_1200*628_f","ｲﾝﾌｨｰﾄﾞ_大","カテ",0,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"95 シュガリミット_LINCREAD_f","330","シュガリミット_1200*628_f","ｲﾝﾌｨｰﾄﾞ_大","カテ",0,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"96 ホワイピュア_f","332","ホワイピュア_300*250_f","ﾚｸﾀﾝｸﾞﾙ","カテ",2,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"96 ホワイピュア_f","333","ホワイピュア_1200*628_f","ｲﾝﾌｨｰﾄﾞ_大","カテ",85,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"96 ホワイピュア_f","334","ホワイピュア_300*300_f","ｲﾝﾌｨｰﾄﾞ_小","カテ",6,0,"オフ",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
