広告管理 ＞ アフィリエイト ＞ キャンペーン

"キャンペーングループ","ID","キャンペーン名","サイズ","設定","原稿数","マージン","ステータス","Imp","Click","CTR","CV","CVR","グロス","ネット","利益","price","CPC(グロス)","eCPM(グロス)"
"1070 RT_COMP購入ALL_30day","4076","RT_COMP購入ALL_30day教会と異端者一家_SZAZ_iOS_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1070 RT_COMP購入ALL_30day","4077","RT_COMP購入ALL_30dayヌルネバ☆スイマ～！！_iOS_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1070 RT_COMP購入ALL_30day","4078","RT_COMP購入ALL_30dayマグロメイドとめちゃしこたまえっち_SZAZ_iOS_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1070 RT_COMP購入ALL_30day","4079","RT_COMP購入ALL_30dayワイルド式日本人妻の寝取り方 其ノ一_SZAZ_iOS_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1070 RT_COMP購入ALL_30day","4080","RT_COMP購入ALL_30day俺をイジメてた元ヤン美人妻に復讐中出し！_iOS_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1070 RT_COMP購入ALL_30day","4081","RT_COMP購入ALL_30day鬼ヶ島VS種付けおじさん_iOS_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1070 RT_COMP購入ALL_30day","4082","RT_COMP購入ALL_30day催●性指導 総集編_iOS_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1070 RT_COMP購入ALL_30day","4083","RT_COMP購入ALL_30day催●性指導 総集編_SZAZ_iOS_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1070 RT_COMP購入ALL_30day","4084","RT_COMP購入ALL_30day冬虫夏草6～親友の姉妹を貪る夏～_iOS_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1280 RT_同人top_30day ","4809","RT_同人top_30day鬼ヶ島VS種付けおじさん_And_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1280 RT_同人top_30day ","4814","RT_同人top_30dayマグロメイドとめちゃしこたま__And_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1280 RT_同人top_30day ","4815","RT_同人top__30day催●性指導 総集編_SZAZ_And_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1280 RT_同人top_30day ","4819","RT_同人top_30day催●性指導 総集編_SZAZ_And_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1280 RT_同人top_30day ","4820","RT_同人top_30day俺をイジメてた元ヤン美人妻に復讐_And_レクタング","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
"1280 RT_同人top_30day ","4821","RT_同人top_30day鬼ヶ島VS種付けおじさん_iOS_レクタングル","ﾚｸﾀﾝｸﾞﾙ","アリ",2,30,"オン",0,0,"0.000%",0,"0.000%",0,0,0,0,-,-
